strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.098125,34.07963227,-0.018075767,-0.080236821,48.2654557,68.7899349,63.10089988,59.88948642,-133507.268,2164.287907,1067.903559
0.09875,34.12379185,0.161128588,0.173261301,48.02188217,68.82908683,63.10650613,59.88507501,-133465.2677,2160.277865,1065.924923
0.099375,34.1270892,0.094354575,0.059640237,48.15412039,68.86823876,63.10901234,59.87222461,-133436.5191,2169.583799,1070.51666
0.1,34.06228457,-0.07953092,-0.037109425,48.25384995,68.90739068,63.11094232,59.83239913,-133386.222,2157.23077,1064.421424
0.100625,34.24387357,-0.038703318,-0.094797287,48.52259824,68.94654261,63.14427306,59.77634675,-133357.4478,2166.604683,1069.046703
0.10125,34.24125579,0.09903971,-0.03154884,48.37698947,68.98569454,63.14644186,59.74879673,-133324.7226,2172.190537,1071.802877
0.101875,34.233031,-0.236331572,-0.042542699,48.61059002,69.02484646,63.13050033,59.74809207,-133269.0812,2154.725762,1063.185403
0.1025,34.32160748,0.172904093,0.137260301,48.31878315,69.06399839,63.16824625,59.71253161,-133235.2193,2158.815711,1065.203466
0.103125,34.15546171,0.021782388,-0.075181785,48.34102212,69.10315032,63.19286573,59.64678978,-133192.6619,2154.298273,1062.974471
0.10375,34.11358418,-0.173083264,-0.099573363,48.43677442,69.14230224,63.19100246,59.61256393,-133149.7417,2149.733698,1060.722217
0.104375,33.96021412,0.385101576,0.184092974,47.62515036,69.18145417,63.21588952,59.60598259,-133128.1994,2166.085841,1068.790696
0.105,33.6169489,-0.097429374,0.041896405,47.58111878,69.2206061,63.20589598,59.5702651,-133080.5501,2156.429573,1064.026098
0.105625,32.83927956,-0.017005936,-0.079428751,46.51000698,69.25975802,63.23028367,59.49591755,-133049.6549,2162.514965,1067.028754
0.10625,32.11343723,0.145321469,0.043154836,45.28215848,69.29890995,63.26081697,59.45877192,-133021.3445,2170.919828,1071.175883
0.106875,31.06423975,-0.129110773,-0.036895252,44.04899794,69.33806188,63.23247796,59.43501645,-133026.9017,2211.582641,1091.23974
0.1075,29.74316282,0.067315059,0.166282159,41.89818139,69.3772138,63.25817788,59.38153753,-133015.142,2233.117191,1101.865324
0.108125,27.66119694,0.2055676,0.048597644,38.93959248,69.41636573,63.30708725,59.26249258,-133026.1677,2274.707136,1122.386647
0.10875,25.06010292,-0.039370811,-0.091714539,35.53308659,69.45551765,63.27821054,59.16939628,-133028.0308,2303.651189,1136.66823
0.109375,23.21884548,0.059549743,0.158604784,32.6823728,69.49466958,63.28981256,59.10213088,-133051.3152,2349.293546,1159.189095
0.11,21.26113249,-0.0514105,0.032390526,30.08140617,69.53382151,63.268825,58.95919757,-133090.8575,2405.917011,1187.128261
0.110625,19.64611359,0.067176207,-0.014997644,27.74708699,69.57297343,63.26429419,58.84032839,-133117.0813,2444.386491,1206.109883
0.11125,18.1039323,-0.199385914,0.066834118,25.69862333,69.61212536,63.2036166,58.71163428,-133165.8704,2499.876725,1233.48989
0.111875,16.44759391,0.019123908,-0.059332068,23.28904007,69.65127729,63.20308429,58.5554555,-133211.811,2548.601041,1257.531456
0.1125,15.0586026,0.030515149,-0.216820699,21.42995905,69.69042921,63.15454654,58.44837467,-133278.9946,2616.258627,1290.915082
0.113125,14.02363311,-0.160085025,0.099359948,19.87789111,69.72958114,63.07314925,58.43215843,-133341.9965,2676.434183,1320.606921
0.11375,12.8659856,-0.059158112,-0.070581096,18.28699615,69.76873307,63.05340295,58.33546977,-133386.8704,2716.039788,1340.149131
0.114375,12.54148432,-0.133008892,0.063325033,17.78723656,69.80788499,63.0293053,58.30143523,-133441.3601,2762.905622,1363.273684
0.115,11.75397294,0.029382359,0.104684988,16.52808533,69.84703692,63.03170661,58.19503577,-133465.1623,2776.074451,1369.771451
0.115625,11.21831785,0.093498924,-0.015549456,15.81054276,69.88618885,63.04522399,58.08614262,-133533.293,2832.1683,1397.449294
0.11625,10.35877246,-0.185477886,-0.02550642,14.80000182,69.92534077,63.02351817,58.06055139,-133548.769,2833.401026,1398.057546
